group_id,,AbsTime,RelTime,Cycle,m15.006 (B_m15.006) (Corr),m15.970 (B_m15.970) (Corr),m16.980 (B_m16.980) (Corr),m17.007 (B_m17.007) (Corr),m18.016 (B_m18.016) (Corr),m18.886 (B_m18.886) (Corr),m18.939 (B_m18.939) (Corr),m19.043 (B_m19.043) (Corr),m19.089 (B_m19.089) (Corr),m19.109 (B_m19.109) (Corr),m19.729 (B_m19.729) (Corr),m20.006 (B_m20.006) (Corr),m21.005 (B_m21.005) (Corr),m26.996 (B_m26.996) (Corr),m27.988 (B_m27.988) (Corr),m28.988 (B_m28.988) (Corr),m29.971 (B_m29.971) (Corr),m30.983 (B_m30.983) (Corr),m31.969 (B_m31.969) (Corr),m32.074 (B_m32.074) (Corr),m32.968 (B_m32.968) (Corr),m33.003 (B_m33.003) (Corr),m33.965 (B_m33.965) (Corr),m36.910 (B_m36.910) (Corr),m37.012 (B_m37.012) (Corr),m37.123 (B_m37.123) (Corr),m37.656 (B_m37.656) (Corr),m37.749 (B_m37.749) (Corr),m37.999 (B_m37.999) (Corr),m38.999 (B_m38.999) (Corr),m41.003 (B_m41.003) (Corr),m41.999 (B_m41.999) (Corr),m43.013 (B_m43.013) (Corr),m43.971 (B_m43.971) (Corr),m44.973 (B_m44.973) (Corr),m45.958 (B_m45.958) (Corr),m46.988 (B_m46.988) (Corr),m48.981 (B_m48.981) (Corr),m49.976 (B_m49.976) (Corr),m50.991 (B_m50.991) (Corr),m51.997 (B_m51.997) (Corr),m53.006 (B_m53.006) (Corr),m55.009 (B_m55.009) (Corr),m57.035 (B_m57.035) (Corr),m59.025 (B_m59.025) (Corr),m60.020 (B_m60.020) (Corr),m61.001 (B_m61.001) (Corr),m61.999 (B_m61.999) (Corr),m62.993 (B_m62.993) (Corr),m65.008 (B_m65.008) (Corr),m67.023 (B_m67.023) (Corr),m69.037 (B_m69.037) (Corr),m71.044 (B_m71.044) (Corr),m73.024 (B_m73.024) (Corr),m75.011 (B_m75.011) (Corr),m77.008 (B_m77.008) (Corr),m78.015 (B_m78.015) (Corr),m79.017 (B_m79.017) (Corr),m81.006 (B_m81.006) (Corr),m83.055 (B_m83.055) (Corr),m85.059 (B_m85.059) (Corr),m87.023 (B_m87.023) (Corr),m88.043 (B_m88.043) (Corr),m89.027 (B_m89.027) (Corr),m90.924 (B_m90.924) (Corr),m91.014 (B_m91.014) (Corr),m93.009 (B_m93.009) (Corr),m94.011 (B_m94.011) (Corr),m95.022 (B_m95.022) (Corr),m96.021 (B_m96.021) (Corr),m97.057 (B_m97.057) (Corr),m99.047 (B_m99.047) (Corr),m101.056 (B_m101.056) (Corr),m103.041 (B_m103.041) (Corr),m105.018 (B_m105.018) (Corr),m109.052 (B_m109.052) (Corr),m111.079 (B_m111.079) (Corr),m117.056 (B_m117.056) (Corr),m123.075 (B_m123.075) (Corr),m125.093 (B_m125.093) (Corr),m143.107 (B_m143.107) (Corr),m145.087 (B_m145.087) (Corr),m149.020 (B_m149.020) (Corr),m202.911 (B_m202.911) (Corr),m203.966 (B_m203.966) (Corr),m204.248 (B_m204.248) (Corr),m204.589 (B_m204.589) (Corr),m204.939 (B_m204.939) (Corr),m205.432 (B_m205.432) (Corr),m205.703 (B_m205.703) (Corr),m205.918 (B_m205.918) (Corr),m207.002 (B_m207.002) (Corr),m217.906 (B_m217.906) (Corr),m223.041 (B_m223.041) (Corr),m225.020 (B_m225.020) (Corr),m266.978 (B_m266.978) (Corr),m281.039 (B_m281.039) (Corr),m283.013 (B_m283.013) (Corr),m286.971 (B_m286.971) (Corr),m329.812 (B_m329.812) (Corr),m330.840 (B_m330.840) (Corr),m331.858 (B_m331.858) (Corr),m332.186 (B_m332.186) (Corr),m332.836 (B_m332.836) (Corr),m341.011 (B_m341.011) (Corr),m355.111 (B_m355.111) (Corr),m356.122 (B_m356.122) (Corr),m357.073 (B_m357.073) (Corr),m358.059 (B_m358.059) (Corr),m359.030 (B_m359.030) (Corr),m371.113 (B_m371.113) (Corr),m372.112 (B_m372.112) (Corr),m373.073 (B_m373.073) (Corr),m374.064 (B_m374.064) (Corr),m375.050 (B_m375.050) (Corr),m376.043 (B_m376.043) (Corr),m429.081 (B_m429.081) (Corr),m430.082 (B_m430.082) (Corr),m431.078 (B_m431.078) (Corr),m432.070 (B_m432.070) (Corr),m445.104 (B_m445.104) (Corr),m446.105 (B_m446.105) (Corr),m447.089 (B_m447.089) (Corr),m448.086 (B_m448.086) (Corr),E/N_Act [Td],p-Drift_Act [mbar]
                      Jar_BLK_29,118,44841.8294,118.0001,119,583.7089,1084.034,519.0527,1584.363,31132.28,2470.854,2835.192,0,0,0,7974,44607.59,24761240,628.9221,350.2976,32646.75,24875.11,185.1045,1325524,608.0912,3333.318,2387.074,2134.255,132.7258,2191766,53.89342,118.8873,131.4603,1801.368,4284.957,302.8082,98.03335,950.2684,209.4643,418.6456,158.2146,401.6985,10.61968,246.9005,1710.405,130.5137,1929.692,706.0674,243.9621,836.3432,66.4078,1258.06,37.37725,62.22659,88.52549,57.50758,277.5366,93.59225,166.663,598.2064,1371.906,275.7665,90.48415,435.4825,51.76027,28.29655,152.3663,240.486,71.07664,101.3917,238.5999,172.1034,269.5285,8215.37,330.5628,45.20781,20.17402,8.939253,12.21808,37.52505,21.19194,15.94509,14.98666,0,9.719403,3.618929,2.381726,59.31864,27.01747,149580,282.0473,3.001932,1049.391,27.54911,22.01423,42.45719,21.01357,80.84959,11.0071,25.57124,4.001932,50.02828,12.00708,6.00322,13618.51,90061.57,153.1271,67.11217,64.04166,3.000644,136.1404,34.02194,24.81289,9.850088,9.005167,14.0084,6.00322,15.00903,4.001932,1,3.001288,4.001932,2.000644,4.001932,2.000644,1,4.001932,1,3.001288,175.3814,2.800188
                      Jar_BLK_29,119,44841.8294,119.0001,120,166.774,1000.651,1199.671,1446.25,30610.74,2059.614,3400.512,0,0,0,10034.87,42648.41,27547140,465.6118,282.2505,32181.37,25561.05,351.5042,1296364,576.9764,3163.332,2556.075,2184.071,137.2516,2272682,62.53857,160.2526,126.0137,1870.867,4093.457,290.4236,48.30227,1039.979,190.8648,421.636,232.0922,424.7191,5.308133,257.2394,1695.715,111.1606,1640.719,762.9407,227.053,840.2101,52.88037,1726.176,44.85276,131.7746,67.68007,30.44518,305.2718,135.0996,194.1545,760.1312,1472.842,297.9121,103.6642,366.3038,37.08189,35.37068,119.4212,233.5523,122.9147,129.6104,230.7796,235.3565,221.5679,8440.721,363.5553,45.20781,16.50599,12.51495,29.6726,34.11372,37.49334,20.49331,14.98668,2.827614,5.553945,9.652546,5.95623,47.68742,26.2435,146557.9,285.1134,3.68988,1019.118,30.44938,23.48396,64.04175,22.0142,106.893,22.0142,12.00774,21.01357,73.04771,31.02004,29.01813,13480.78,89182.43,189.2889,85.82894,48.86766,5.003219,7124.689,807.4543,573.2595,86.83788,32.0207,518.0112,108.4029,310.7346,51.03312,44.0279,8.005151,1,5.002576,5.003236,3.001288,1,2.000644,0,2.000644,175.5249,2.797899
                      Jar_BLK_29,120,44841.8295,120.0001,121,658.7912,917.2596,1110.094,2608.962,32790.29,2935.037,3918.678,0,0,0,10197.99,42781.18,25837080,642.1802,389.6456,33397.01,24532.56,343.4314,1289459,553.1187,3646.717,2836.08,1918.078,116.2992,2321514,63.01233,113.1817,101.4049,1757.65,3939.459,266.7592,117.2971,1215.733,228.4741,553.489,184.0768,492.604,5.308133,366.7884,1657.44,111.1748,1739.484,728.8181,206.774,821.7532,33.65394,1651.478,67.26115,109.8117,100.1022,27.06228,348.5907,119.3898,207.3587,813.8783,1534.595,267.3512,92.72324,455.1653,44.04536,44.80298,138.5734,262.8634,117.3216,119.3448,256.1018,239.0074,262.7849,8507.586,339.0917,62.16117,22.00799,17.87856,31.41792,28.9966,32.60292,15.94614,24.35338,5.657047,2.776079,7.238634,5.95623,47.6874,26.01681,146287.4,279.7584,2.000644,1025.567,30.44948,17.83966,48.9849,17.01096,86.05997,18.01161,32.02069,17.01098,40.02592,36.37511,53.0345,13002.16,89506.04,172.2337,90.21082,55.13726,15.00901,13373,1240.074,928.8449,148.1944,67.04007,1079.948,189.2522,527.1086,100.0655,60.03903,20.01289,7.00388,0,3.892486,1.9375,4.001288,0,5.001932,4.001288,175.6207,2.796373
                      Jar_BLK_29,121,44841.8295,121.0001,122,518.2385,917.2047,583.5474,1867.103,32983.48,2671.989,2859.877,0,0,0,9019.614,44589.34,25477120,393.6121,219.268,33262.46,24653.03,277.4252,1275407,617.3609,2914.117,2583.003,2204.706,106.1252,2386428,36.72837,193.6571,197.5295,1862.028,4426.967,259.5486,75.90356,1272.949,229.2565,459.377,232.6569,428.4622,5.31155,304.0051,1499.917,101.5102,1714.755,766.4318,252.3824,843.7979,33.29529,2024.488,58.95687,91.98165,79.19447,47.07949,323.6113,106.8226,250.0858,894.5417,1533.603,228.8131,108.1418,393.9307,37.08184,52.39301,153.502,297.4907,114.2813,137.8894,278.7808,250.1402,265.3885,8568.691,379.3181,37.67314,25.67602,12.51495,31.41795,32.40799,42.53025,20.72898,17.98396,5.657047,4.165459,7.23941,4.764218,44.19822,30.01938,145680.7,292.0736,1,1032.694,28.01814,22.01422,38.02462,17.01098,91.72375,22.3738,20.01293,20.01227,48.37511,40.02593,79.04814,13049.98,89027.91,178.0186,76.97961,40.02586,14.04033,12851.08,1173.602,848.9733,150.2252,54.03497,1004.848,185.8277,530.6992,116.81,56.03627,21.01292,3.000644,2.000644,1.000644,1,2,5.002575,2.000644,3.001288,175.5489,2.797517
                      Jar_BLK_29,122,44841.8295,122.0001,123,313.354,1556.652,1167.425,2368.409,33873.37,2403.922,3226.359,0,0,0,8954.42,41351.68,27639540,555.2131,366.5282,31781.48,24673.9,235.3671,1273601,636.5189,3654.745,2356.12,2170.056,128.5803,2377252,54.33534,161.3479,118.3059,1823.214,4038.682,312.2422,87.30527,1258.046,248.0427,421.0679,209.3631,493.0634,5.31155,357.0518,1545.449,125.6796,1695.712,759.6052,235.5774,811.8575,33.24958,2092.301,67.27933,117.1325,112.4958,55.85577,318.808,119.5615,258.5742,837.0154,1547.25,267.6335,121.6599,406.8798,29.66552,40.08697,110.805,290.3332,122.6117,99.63849,177.351,266.2926,265.55,9014.235,358.22,54.62626,18.34002,23.24209,33.16344,34.11369,29.34259,17.54078,22.48,1.413352,5.553945,7.238634,9.529222,53.50307,25.01616,145065.6,276.6632,2.376529,1032.991,33.42009,23.51523,49.54783,20.01288,70.04507,24.39073,14.0084,22.0142,62.38452,36.38223,62.03962,13195.8,88706.77,162.3662,68.84251,53.26882,11.00649,12460.3,1140.924,797.686,144.9343,60.039,954.0163,151.1609,533.9967,96.41454,53.47995,18.01161,2.000644,2.000644,6.917925,1,0,4.001932,2.000644,2,175.5489,2.797517
                      Jar_BLK_29,123,44841.8295,123.0001,124,583.7102,562.212,928.4973,1847.067,33179.17,2564.828,2983.075,0,0,0,9985.335,44312.54,26209770,476.4274,485.7402,33724.44,24925.98,277.4245,1278532,656.6144,3495.598,2525.774,1858.039,109.0272,2404988,43.00797,131.7908,156.7296,1760.01,4148.903,279.2632,110.4059,1127.467,222.6243,482.6034,165.7022,338.7368,21.2462,254.475,1612.051,140.1807,1691.689,863.0848,265.0287,761.4556,46.87592,2281.56,78.49261,58.56615,97.1152,43.97621,331.3178,113.1185,236.8428,913.4818,1503.603,342.0424,110.9827,373.1372,40.92518,40.08685,112.6611,281.5806,119.2085,107.6911,210.6363,280.2996,249.8281,9048.678,358.236,67.81198,13.66189,14.30281,22.5203,22.39373,35.8632,16.68736,16.48532,0,4.875973,2.413136,7.375342,59.31801,26.22006,145350.7,300.0901,2.000644,1065.823,33.40028,19.0123,52.56547,19.01225,89.05763,26.01682,19.01225,24.01558,55.03584,40.02595,59.03825,12786.73,89499.24,177.2338,84.11276,45.02906,9.005167,11680.08,1108.89,809.6373,134.1325,50.03234,917.3977,178.2269,489.7103,87.11922,63.04106,16.01033,3.000644,3.001288,0,2,2,0,2.001288,1,175.5728,2.797136
                      Jar_BLK_29,124,44841.8295,124.0001,125,452.4396,1052.767,432.0827,1868.074,32167.21,2462.391,4062.648,0,0,0,10487.89,39519.96,25985640,647.2195,244.0312,31945.26,25515.25,323.1214,1275885,609.0482,3352.479,2591.671,2045.691,104.1564,2405028,17.85915,166.24,158.6277,1694.726,4219.548,313.0219,89.70444,1066.461,196.4441,478.4338,170.0112,400.0746,10.61968,274.6905,1539.38,135.3469,1710.86,775.4595,281.5379,748.2733,26.07012,2271.495,44.85263,109.8119,100.8024,40.59348,297.9174,116.2482,225.4102,885.8677,1578.209,265.0803,113.5494,366.996,34.60976,23.58043,157.7181,292.0447,140.2001,145.3604,304.8311,301.1342,269.6802,9134.021,411.6161,64.04465,28.68377,17.80867,26.65895,29.15651,40.85552,11.16231,26.05074,1.414262,8.330917,10.85834,8.338723,56.45639,27.01748,146277.9,234.6532,1,989.6489,24.01547,27.01751,51.4397,23.68717,93.06464,20.01294,25.01615,20.01226,68.04431,47.03041,58.03716,12823.97,89366.88,182.2666,91.3534,56.03641,11.00644,11605.77,1043.927,769.1018,139.1205,56.8886,859.5157,163.1911,536.8002,89.05792,62.04022,7.004523,3.001288,4.001932,6.00322,0,1,1,1,1,175.4771,2.798662
                      Jar_BLK_29,125,44841.8295,125.0001,126,750.4842,990.8196,940.2235,1990.232,29859.79,2218.898,4391.123,0,0,0,9370.523,43682.15,26148330,407.9956,335.1722,34423.41,24591.03,169.597,1272957,601.9176,3733.308,2636.916,1863.065,97.28156,2424923,35.08737,135.8714,191.901,1800.766,4431.579,306.2844,82.80401,1284.578,298.9801,497.5554,182.8405,485.9618,0,213.8972,1647.422,169.1841,1628.695,624.1137,210.2478,802.8018,54.6887,2392.849,74.75477,98.8311,112.7772,40.5913,344.8951,116.2483,198.2206,1091.992,1544.463,220.6457,110.7401,421.666,33.39297,33.01268,126.1807,304.1316,153.6531,148.9345,252.2318,291.7652,287.485,9069.455,445.0158,64.30935,22.00805,14.30054,26.18168,44.3478,34.23304,19.13534,20.98129,2.827614,1.388486,3.619705,5.95625,52.33988,23.01488,146981.4,309.8026,0.4296876,1025.238,26.97059,17.01101,46.60046,32.71648,89.05814,23.01491,24.50029,32.9197,60.23448,35.02262,45.02921,13221.88,88609.05,193.2729,83.69809,40.26036,10.00581,11109.86,1038.936,760.9706,122.1095,64.0418,869.798,175.228,481.7447,85.0556,59.03838,10.00644,3.000644,1,3.001288,1,0,0,0,2.001288,175.6207,2.796373
                      Jar_BLK_29,126,44841.8295,126.0001,127,333.5479,1667.461,587.1291,1754.885,30592.91,3361.93,3145.729,0,0,0,9467.664,44612.73,26620470,505.5855,317.5319,31463.67,25167.85,249.6156,1276428,714.0062,3368,2487.999,2106.261,75.24112,2429488,35.71829,175.2129,59.15287,1801.52,3968.857,282.924,89.70467,1274.532,216.2858,466.8325,204.7804,451.7748,5.308133,296.4692,1674.989,159.5166,1750.573,675.0457,256.6017,833.679,39.06334,2640.447,56.06345,109.812,91.5122,40.59348,281.5951,131.9575,294.8378,1078.027,1474.906,303.3601,110.8457,371.421,37.08188,32.22966,141.7687,299.5547,125.2821,135.7901,254.2535,235.4908,294.7996,9175.487,415.7186,69.8943,34.8461,14.36569,37.27486,28.99669,41.48594,30.29768,20.98137,2.827614,8.531596,3.618929,11.10669,58.15561,14.00842,146510.6,308.3275,0,996.6877,30.01943,37.36792,57.75632,29.01882,84.05517,27.01744,21.65461,23.01486,74.04829,43.02792,42.02731,13390.82,88964.04,195.2861,86.35458,43.13726,8.004507,10349.09,1035.075,719.609,130.885,46.02985,828.8077,172.5517,479.364,97.81373,53.83171,10.00644,5.862594,1,1,2.001288,1.000644,3.000644,2,4.002592,175.5967,2.796754
                      Jar_BLK_29,127,44841.8295,127.0001,128,567.7501,1084.035,534.7434,1476.879,28621.31,2802.782,2972.769,33324.84,0,0,10155.17,46760.75,26426030,392.991,372.177,33314.01,24464.91,317.0576,1270835,586.1028,3422.726,2720.524,1997.414,164.2321,2452871,17.60672,144.3636,123.1262,1876.184,4258.162,410.9282,96.60487,1341.953,275.526,487.9957,258.4848,401.8409,10.6231,337.902,1700.312,140.1779,1739.338,807.7925,243.9878,876.0878,66.4076,2612.892,100.9189,102.478,101.8113,33.82796,351.4663,147.6671,276.8148,1041.056,1499.597,328.1797,102.7347,352.3832,39.55242,33.01117,137.1564,308.5278,118.9136,120.3987,220.7501,271.4729,269.8906,9237.285,375.6184,78.20166,27.51008,17.8786,33.16344,13.64546,44.68894,20.72998,21.39111,2.828523,8.330916,4.825497,6.374262,46.52448,19.01227,145998.3,298.7908,1.000644,974.0841,26.65789,31.52035,59.03844,24.01557,80.95917,20.01293,20.01162,29.01813,86.05627,48.03121,43.05117,13276.48,89070.33,189.0366,83.50706,60.0389,13.00776,9762.025,1028.718,734.7057,91.05977,52.0337,740.7779,128.1203,386.3657,92.06028,41.42463,13.87613,5.002576,3.000644,5.002576,2.000644,0,2.000644,3.99347,1,175.6926,2.795228
                      Jar_BLK_29,128,44841.8296,128.0001,129,667.0959,674.7505,1040.876,1917.262,31387.46,2256.351,2525.409,0,0,0,9754.344,43951.37,25925850,448.3573,373.3486,32358.13,25221.31,237.7926,1287935,662.9091,3548.189,2526.599,1999.641,100.6328,2464946,17.54361,226.3638,169.0092,1999.729,4409.333,273.9671,95.87688,1454.147,220.9577,513.2003,171.0478,427.6435,15.93465,282.9074,1734.643,126.6049,1837.832,801.4096,289.1268,825.3008,62.02831,2810.143,63.54136,76.86807,94.91792,27.06228,326.9706,131.9579,247.8976,1050.818,1520.015,287.637,118.4917,397.0403,42.02617,41.46856,147.6403,328.2883,143.1071,133.882,239.1441,310.0514,299.5688,9295.056,381.2229,62.26397,18.80565,22.32721,47.127,45.38059,44.63171,19.13534,25.47736,9.899856,5.553945,13.09786,13.10371,63.30333,26.01678,146319.3,227.9905,2.000644,1057.564,38.02457,18.60572,32.02069,23.01486,98.06779,29.01876,20.82598,16.88588,87.05338,49.03178,56.03642,13092.87,89735.65,184.756,86.73903,46.02996,18.01096,10047.16,1013.931,724.421,115.8835,56.03634,772.4902,132.1155,420.5579,98.36513,41.22624,9.896994,2.000644,1,1,2.000644,2.000644,0,1,2.000644,175.6926,2.795228
49,236,44841.8308,236.0002,237,1693.842,438.1075,381.5932,1000.651,42383.57,3403.611,4210.418,23699.38,0,0,12673.87,58654.14,29978520,975.2817,278.9437,32227.39,22535.17,237.7926,358667.8,997.501,3083.375,10143.6,589.7068,176.8764,3703488,0,871.9592,599.1193,5331.925,10037.21,814.894,241.4891,2607.689,159.0331,7515.681,326.0165,544.9036,47.80412,118.3055,734.4213,76.56071,1008.13,3612.201,751.2918,2160.81,117.1908,1844.396,87.98056,373.8569,77.34044,33.82796,533.0327,190.5486,302.3101,970.9067,1317.053,248.513,127.067,331.2655,195.3004,52.07979,180.4351,763.8952,209.2119,78.03813,193.3934,389.7878,179.6507,11009.06,479.9229,110.6657,38.51413,32.1814,68.07259,40.93636,70.09656,54.04266,32.97075,14.57353,38.87773,51.88285,8.338723,37.42841,13.26636,150090.9,192.3257,2.000644,1016.974,33.02143,21.01361,59.03843,28.01809,92.06035,85.16493,34.42077,28.01813,89.98052,88.02628,87.05699,3804.87,93964.24,167.0878,73.12027,32.0988,66.04303,18336.17,1521.832,1302.11,213.8847,103.0825,2947.302,393.961,1536.755,235.4339,144.16,23.01491,527.0621,131.3642,94.06129,17.72236,192.2686,55.03563,90.33231,26.01681,174.8057,2.804003
49,237,44841.8308,237.0002,238,1667.458,83.33335,833.8713,833.8726,39862.1,3122.474,4784.958,0,0,0,13047.22,57366.72,31339010,782.7291,150.0833,32049.36,21733.04,331.507,359336.8,1195.98,3012.58,10559.44,754.3986,184.1302,3660305,0,758.6273,675.3494,5498.707,9535.408,741.8272,227.713,2457.201,166.4636,6896.331,294.8866,578.8711,53.11567,92.58687,581.8019,29.00279,845.4301,3900.786,867.011,2199.194,71.67224,1754.914,78.47929,295.6085,70.30975,57.50752,557.2339,184.8657,362.5999,888.3513,1318.604,235.7827,163.7133,332.7643,163.1622,40.08693,135.1939,704.0784,200.8559,110.7351,251.7254,371.3153,180.0363,11078.47,447.8764,100.9013,33.01202,32.18146,68.07265,27.291,53.79486,19.13545,29.97335,28.28533,44.43176,45.84991,13.10296,43.03504,17.011,151203.6,279.873,0,1024.21,22.01423,22.60832,46.02983,19.35624,90.48114,78.97334,18.01164,25.01616,61.89977,90.42226,78.05081,3698.127,93778.65,166.5867,86.86221,28.67487,51.02954,17450.47,1499.113,1241.017,198.401,124.1067,2744.411,407.7483,1386.072,239.0049,123.0916,24.70343,376.0794,110.0723,64.0415,21.01354,142.148,48.03106,61.50869,10.00644,174.8771,2.802858
49,238,44841.8308,238.0002,239,2369.741,361.8865,750.483,1167.426,39073.62,3320.036,4421.368,0,0,0,11349.99,59458.23,33360390,750.4003,106.3258,32434.13,22442.25,211.3707,353045.7,1274.734,2885.873,10183.08,724.8978,216.3619,3558419,0,871.2984,652.6316,5169.15,8681.688,833.9722,222.1336,2453.64,115.2245,6903.012,227.2917,527.0699,47.80394,72.01186,637.9507,53.16875,821.8545,3695.202,739.3281,1974.693,101.5652,1817.599,83.48561,333.5121,77.34039,81.1873,665.3591,176.1559,336.7521,793.9,1236.557,242.3421,111.0141,337.1566,189.7487,51.87715,175.6642,726.3126,209.5728,92.08245,209.3646,347.0561,155.5875,11349.28,456.8343,97.02363,47.68407,41.12092,62.5363,49.33166,58.68534,30.31011,30.31291,28.28531,34.59295,55.5025,7.14671,53.48412,10.0058,150552.4,251.3223,0,1022.452,28.62791,22.25663,51.71329,29.30802,97.54456,63.0376,30.01881,31.02006,60.03923,79.39995,63.02536,3890.412,93788.28,176.2332,80.55962,30.01937,41.71452,15589.27,1399.264,1190.844,175.2241,108.8009,2550.008,383.8673,1362.516,207.3264,131.2725,25.01616,270.5592,76.04949,59.03833,17.01096,124.0994,32.02067,48.03114,20.0129,174.8771,2.802858
49,239,44841.8308,239.0002,240,1817.2,273.8857,652.7643,651.95,39460.81,3440.41,3554.199,0,0,0,12516.7,60722.38,32127720,904.0134,240.6977,33462.33,22411.94,197.2832,352255.6,964.142,2972.335,9770.731,679.1219,181.4699,3648558,0,864.411,526.0626,5231.368,10318.51,723.1345,222.1598,2533.326,152.3733,6861.703,279.6836,549.181,87.35035,97.73048,533.2307,19.33527,817.8468,4147.571,762.0919,2013.364,114.1993,1546.598,67.2794,295.2799,71.09261,50.742,591.3594,228.5091,277.2301,817.0038,1259.109,264.7785,130.5202,321.7722,180.0224,91.96423,197.6226,818.7977,213.6598,79.8871,207.1471,359.2335,173.3501,11138.04,445.1878,92.39533,38.5141,25.03006,69.41579,38.99756,53.79502,38.27087,34.4641,24.0425,54.15119,57.05323,10.30709,54.66622,13.07093,150852.8,244.5096,2.14136,1051.067,14.29294,26.01681,48.03114,27.23633,94.05813,48.84437,24.60967,28.45593,75.04898,67.04028,76.89378,3876.117,93686.97,137.1339,59.77826,35.30405,43.02367,14400.41,1259.095,1092.499,150.1641,103.0985,2423.847,333.6284,1261.533,207.3115,122.0911,33.0213,191.1252,63.04103,35.02257,9.005151,77.0503,20.01288,22.01423,13.00837,174.8765,2.802095
49,240,44841.8308,240.0002,241,2174.275,83.33335,666.9899,833.874,41456.75,2918.893,5063.259,0,0,0,14967.24,62845.98,30636870,1071.132,176.4058,34466.56,22564.4,251.6483,354966.3,1186.787,3209.918,10044.29,763.0889,182.0064,3800397,0,818.2034,708.6819,5486.348,9736.232,835.027,255.3148,2686.567,152.6677,6812.384,237.6825,529.996,65.78246,66.86825,677.7241,77.33798,991.8818,4097.72,770.1649,2036.358,133.4952,1700.315,95.14426,386.1684,80.85608,115.0152,562.774,184.3322,270.9778,723.3871,1255.559,238.0529,120.4771,258.5364,164.6684,60.68293,170.8682,799.916,230.7136,112.874,214.8024,294.7363,185.6209,11030.75,469.3864,73.4629,31.17808,32.18137,64.07711,25.5853,58.70503,43.05465,38.0756,38.95866,40.26635,51.88276,8.338722,44.19826,13.01619,149959.6,249.3307,0,1049.046,36.75826,30.79334,60.96946,20.01293,86.05576,38.02463,21.01357,26.01686,50.03242,77.05029,94.06515,4021.233,93033.8,136.5002,67.94689,34.88189,36.02265,13915.64,1280.384,992.5776,176.2175,84.05496,2309.633,314.0947,1285.534,174.2131,108.4805,20.01291,112.0877,34.02198,30.01872,8.005168,50.03241,17.45656,18.01159,6.00322,174.8765,2.802095
49,241,44841.8309,241.0002,242,1341.206,195.6025,662.8634,873.9401,38121.8,3171.023,4975.889,0,0,0,13188.27,62804.52,33322020,1017.23,259.3381,33146.34,22028.63,207.5272,361924.7,1073.806,3078.799,10060.44,814.8689,140.4643,3632720,0,980.3184,637.1682,5316.269,9340.896,728.4557,276.0159,2699.599,127.2263,6961.144,272.8509,470.026,74.36205,61.72489,547.2334,48.33806,966.0976,4006.168,867.5599,1928.192,61.68504,1706.636,76.29493,284.8907,78.1231,60.89026,616.1323,216.7883,373.9576,744.5641,1262.05,271.8223,156.7971,350.0487,189.6417,70.74169,153.0793,768.2209,204.8991,90.23348,198.5754,312.1682,173.3429,10984.21,501.3424,94.18333,34.84605,48.27211,64.58159,33.94038,47.45253,31.89227,41.21347,29.40122,33.32385,60.819,7.147477,41.87199,20.01294,149845.2,299.7327,8.004539,1043.462,22.9523,26.60321,45.22469,19.01227,78.69209,38.02458,22.01355,26.01678,63.04122,90.8564,78.98099,4003.375,93475.28,150.0866,56.77651,34.02198,24.53926,14202.63,1285.544,1014.675,158.1765,83.93748,2268.353,331.8364,1255.947,196.888,89.05813,25.01613,77.05014,23.01489,19.01225,5.002576,29.01808,18.01095,11.00645,6.00322,174.9003,2.801714
49,242,44841.8309,242.0002,243,2254.398,416.9349,1032.407,566.9351,34758.32,2700.014,4625.293,0,0,0,13754.07,61731.77,31034160,754.3496,208.3797,33424.43,23203.47,267.2073,362723.7,968.5067,3174.189,10581.49,755.0193,188.8983,3617085,0,918.0127,648.7353,5514.908,9243.247,836.343,214.289,2724.5,104.5143,6597.794,281.5453,548.3661,53.11216,46.29331,569.7452,62.83643,971.6729,4069.13,727.7958,1959.585,117.1904,1625.225,67.27932,362.9652,66.79394,54.12468,613.9933,237.7856,349.8774,756.022,1230.631,268.7757,135.938,281.7737,206.8871,56.59316,161.4842,764.3784,209.8616,106.4011,231.4371,229.6782,153.6262,11204.34,477.3701,94.18365,33.01208,35.38694,82.03519,30.69562,74.98708,46.24396,30.86906,32.52814,33.29662,48.0228,4.764218,41.931,12.00776,149276.8,276.4155,5.002575,1017.806,29.01879,19.01229,31.30151,14.8064,78.92652,46.02991,14.00901,30.01935,77.86334,83.05426,62.02468,4040.514,92604.69,164.3978,68.31967,38.0247,29.01882,14149.31,1246.752,994.3113,158.1803,80.9557,2332.025,321.7929,1293.781,197.8264,111.0763,19.74712,36.0233,24.65654,9.005152,4.000645,26.37639,13.00837,10.00581,4.001288,174.9479,2.800951
